,id,price,floor,max_floor,year,type,total_square,kitchen_square,living_square,planning,rooms,toilet,view,balcony,renovation,ceiling,elevator,parking,building,inside,court,additionally,source,consultant,name,address,description
0,2183982773,5300000,8.0,9.0,2021,Вторичка,84.0,11.0,,,3 ,раздельный,во двор,балкон,требует ремонта,,1 pass 1 cargo,открытая во дворе,кирпичный,,"детская площадка, спортивная площадка",,"

 Лилия
 
",Агентство,"3-к. квартира, 84 м², 8/9 эт.","Республика Хакасия, Абакан, ул. Некрасова, 33А","Трёхкомнатная квартира 84/11кв.кухня.в новом доме.Просторная,светлая.Натяжные потолки в подарок.Дом повышенной комфортности.В Новом современном микрорайоне Арбан.Сдача декабрь 2021.Торг. "
1,2205763376,3160000,5.0,5.0,1974,Вторичка,49.3,,49.3,,2 ,раздельный,"на улицу, во двор",балкон,косметический,2.5,0 pass 0 cargo,наземная многоуровневая,панельный,,детская площадка,,"

 Этажи
 
",Агентство,"2-к. квартира, 49,3 м², 5/5 эт.","Республика Хакасия, Абакан, ул. Кати Перекрещенко, 4","Продается солнечная уютная двухкомнатная квартира 49,3 кв.м. в 4 микрорайоне в панельном пятиэтажном доме.В квартире выполнен качественный косметический ремонт, выровнены стены и потолок.Окна пластиковые, выходят во двор и на детскую площадку(распашонка).Комнаты квадратной формы.Санузел раздельный.Дом имеет удобное расположение и находится в центре района с развитой инфраструктурой.Рядом Гимназия, детский сад, кафе и рестораны,рынок, парки ""Преображенский"",""Сады мечты"".Недалеко обустроенная набережная. Приобретая недвижимость с компанией Этажи"" Вы получаете юридическое сопровождение на всех этапах сделки, что позволяет исключить юридические риски. "
2,2205514752,5100000,3.0,9.0,1989,Вторичка,66.0,9.0,46.0,изолированные,3 ,раздельный,"на улицу, во двор",балкон,дизайнерский,2.7,1 pass ,наземная многоуровневая,панельный,,"детская площадка, спортивная площадка","мебель, бытовая техника, гардеробная","

 Этажи
 
",Агентство,"3-к. квартира, 66 м², 3/9 эт.","Республика Хакасия, Абакан, Северный проезд, 23","В продаже прекрасная трех комнатная квартира. В квартире сделан качественный и современный ремонт в стиле Loft На полах немецкий ламинат Tarket, Натяжные потолки по всей площади квартиры Санузел раздельный в кафеле. В туалете установлена инсталляция, в ванной акриловая ванна и раковина во всю ширину ванной. Комнаты изолированы. Окна выходят на разные стороны дома. А так же из окон открывается прекрасный видна набережную. Зал 18, кухня 9, Детская 9, спальня 12 квадратных метров. В квартире остаётся кухонный гарнитур, прихожая, в детской - шкаф купе. В спальне остается спальный гарнитур (кровать и шкаф-гардероб) Всё остальное по договорённости. Возможно приобретение в ипотеку, один собственники, документы все готовы. Торг "
3,2169719934,2780000,5.0,5.0,,Вторичка,44.0,6.0,,изолированные,2 ,раздельный,,балкон,косметический,2.6,,открытая во дворе,панельный,,детская площадка,мебель,"

 Алена
 
",Частное лицо,"2-к. квартира, 44 м², 5/5 эт.","Республика Хакасия, Абакан, ул. Кати Перекрещенко, 20","Квартира в лучшем районе города, район Преображенского парка, Торгового центра. За домом распожена школа -8 гимназия . Два садика. Дом находится во дворах, тихо, спокойно, уютно. Кругом все коммуникации и достопримечательности. Квартира отличной планировки. Комнаты изолиророванные, санузел раздельный, окна ПВХ, пол ламинат. В ванной комнате кафель. Балкон выходит на гимназию. Уже свободна, лично квартиру можно посмотреть в любое время. Звоните! "
4,2186911644,3500000,5.0,9.0,,Вторичка,52.0,9.0,,изолированные,2 ,раздельный,во двор,лоджия,косметический,,1 pass ,,панельный,,"детская площадка, спортивная площадка",мебель,"

 Агентство недвижимости ЭВЕРЕСТ
 
",Агентство,"2-к. квартира, 52 м², 5/9 эт.","Республика Хакасия, Абакан, ул. Кирова, 103","Продам 2-комнатную квартиру улучшенной планировки в самом центре города! Просторная, светлая, комнаты изолированы. Санузел раздельный, отделан новым современным кафелем. На полу линолеум, стены обои. Лоджия, застеклена ПВХ с видом во двор. В подарок остается кухонный гарнитур! Документы готовы к продаже, один собственник, рассмотрим любую форму оплаты. Звоните, отвечу на все интересующие вопросы. "
5,2109255756,3310000,4.0,5.0,,Вторичка,49.0,,,изолированные,2 ,раздельный,,балкон,,,,,панельный,,,,"

 Лариса
 
",Частное лицо,"2-к. квартира, 49 м², 4/5 эт.","Республика Хакасия, Абакан, Трудовая ул., 13","Продаю распашонку, сады, школы, банки, магазины и Черногорский парк в шаговой доступности, есть овощехранилище в подвале, все вопросы по тел, квартира в собственности больше 10 лет, можно ипотека. Собственник "
6,2024932419,8800000,4.0,5.0,,Вторичка,100.0,16.0,84.0,,3 ,,"на улицу, во двор",балкон,,,,,кирпичный,,,,"

 Андрей
 
",Частное лицо,"3-к. квартира, 100 м², 4/5 эт.","Республика Хакасия, Абакан, пр-т Дружбы Народов, 43А","Продажа от собственника НЕ АГЕНТСТВО и ещё раз пишу не АГЕНСТВО я сам продаю я собственик . В квартире остаётся всё, заберу только свои личные вещи. Расписывать всё не вижу смысла звоните, расскажу и покажу. Реальному покупателю торг символический. "
7,2204163351,2300000,5.0,5.0,,Вторичка,45.0,,,изолированные,2 ,,во двор,балкон,косметический,,0 pass ,открытая во дворе,панельный,,"закрытая территория, детская площадка, спортивная площадка",,"

 Анастасия
 
",Частное лицо,"2-к. квартира, 45 м², 5/5 эт.","Республика Хакасия, Абакан, ул. Крылова, 77","Продам квартиру в панельном доме. Требуется косметический ремонт. Ровные стены и потолки. Центр города , расположен в серединки соседних домов. Рядом школы, сады, магазины. Хорошая транспортная развязка. Показ в любое время. "
8,1963927147,950000,1.0,2.0,,Вторичка,30.0,6.5,18.0,,1 ,,,нет,,,,,деревянный,,,,"

 Агентство недвижимости ЭВЕРЕСТ
 
",Агентство,"1-к. квартира, 30 м², 1/2 эт.","Республика Хакасия, Абакан, ул. Суворова, 79","  Продам 1 комнатную квартиру в тихом районе г.Абакана. В квартире сделан качественный ремонт, (Поменяны полы, новая электро-проводка, Натяжные потолки, окна пластиковые, современный кафель в сан.узле. Очень большой плюс - маленький платеж по коммунальным услугам так как отопление в квартире комбинированное печное + элетро. Можно полностью всю зиму отапливаться элетро отоплением, в этом случае сумма коммунальных платежей составит около 2тыс. а если печным то в 3-и раза меньше.Установлена своя скважина , в квартире круглый год вода и горячая и холодная. также имеется подполье для хранения овощей и консервации. Во дворе есть сарай. Поможем в оформлении ипотеки. Звоните.  "
9,2184195320,3200000,3.0,5.0,1986,Вторичка,54.0,9.0,,изолированные,2 ,,,балкон,,,,,панельный,,,,"

 Агентство недвижимости ШАГ
 
",Агентство,"2-к. квартира, 54 м², 3/5 эт.","Республика Хакасия, Абакан, Пирятинская ул., 17А","Продам двухкомнатную квартиру! Улучшенной планировки, комнаты не проходные, на одну стороны. Окна квартиры пластиковые. Квартира в обычном состоянии. Дом по прописке относится к школе № 26, детский сад ""Антошка"", во дворе. Подъезд чистый, ухоженный, соседи отличные, Во дворе дома большая детская площадка, большое количество парковочных мест. Звоните! Возможно приобретение недвижимости за наличный расчет, и через банки партнеры «Сбербанк», «ВТБ », «Россельхозбанк», ""Промсвязьбанк"", ""Газпромбанк"". Квалифицированные специалисты помогут оформить и принять заявку в банк по вашему выбору и подберут наиболее подходящую программу кредитования. ЛУЧШИЕ ПРЕДЛОЖЕНИЯ МОЖНО УВИДЕТЬ У НАС В МАГАЗИНЕ НАЖАВ НА ССЫЛКУ СПРАВА ""АГЕНТСТВО НЕДВИЖИМОСТИ -ШАГ"" "
