,lat,long,leisure_points_in_0.01,shop_points_in_0.01,amenity_points_in_0.01,crossing_points_in_0.01,natural_points_in_0.01,sport_points_in_0.01,building_points_in_0.01,historic_points_in_0.01,tourism_points_in_0.01,office_points_in_0.01,bus_points_in_0.01,healthcare_points_in_0.01,hotel_points_in_0.01,parking_points_in_0.01,catering_points_in_0.01,study_points_in_0.01
0,53.737219,91.413928,74,11,104,48,390,20,487,0,2,0,3,0,2,64,7,7
7,53.7421535,91.413259,62,10,71,39,427,19,346,2,6,0,3,0,2,40,7,4
9,53.7426906,91.4132214,59,8,64,37,426,19,324,2,6,0,3,0,2,40,5,6
18,53.741225,91.413698,68,10,82,43,431,23,388,2,6,0,3,0,2,46,7,6
20,53.7436096,91.41371939999999,59,8,64,39,430,18,280,2,6,0,3,0,2,40,5,6
29,53.7175644,91.4293172,160,37,160,109,487,34,1758,9,6,9,9,3,1,82,9,38
50,53.729425,91.43966499999999,206,53,224,114,774,35,1535,3,18,20,12,6,9,88,30,39
57,53.697233,91.41119049999999,56,23,71,49,220,15,2616,1,4,0,6,5,0,35,0,15
59,53.6980332,91.4097803,62,29,81,47,246,18,2488,2,3,0,5,5,0,41,1,15
60,53.6975884,91.4097829,62,29,79,47,237,18,2500,2,3,0,5,5,0,39,1,15
62,53.69713640000001,91.4103961,57,27,75,47,232,16,2558,2,3,0,6,5,0,37,0,15
65,53.6995973,91.4089094,75,29,97,40,298,21,2237,2,1,1,4,3,0,52,1,20
67,53.69932859999999,91.40794580000001,76,28,101,39,297,21,2141,2,1,1,4,3,0,55,1,21
68,53.6979652,91.4083508,71,28,92,38,285,21,2359,2,1,1,4,4,0,49,1,19
71,53.6999544,91.40790559999999,77,28,101,40,296,22,2069,2,1,2,4,2,0,56,1,21
72,53.6993047,91.40659339999999,79,27,106,37,311,22,1988,2,1,2,4,1,0,63,1,20
73,53.6957132,91.4062747,73,26,88,52,267,21,2221,2,1,1,4,3,0,47,1,18
74,53.6949533,91.4066813,72,26,84,53,238,21,2262,2,1,0,4,4,0,43,1,18
